SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21	318.328	3.5601	2	4	2	138.133	-3.658	0.981	96.957	-2.735	Yes	No	Yes	-0.988	0.195	-0.615	-2.088	No	Yes	Yes	Yes	Yes	No	No	0.513	No	Yes	0.294	No	Yes	2.589	1.153	No	No	0.288	1.137
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21	351.446	4.9861	3	2	2	153.799	-4.615	1.151	97.327	-2.727	Yes	No	No	-0.587	0	-0.308	-1.682	No	No	No	No	Yes	No	No	0.635	No	No	0.652	No	No	2.554	1.882	Yes	No	0.338	-0.221
NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12	320.396	2.5914	3	4	2	140.012	-3.081	0.92	95.261	-2.692	Yes	Yes	Yes	1.106	0.2	-0.376	-2.246	No	Yes	Yes	No	No	Yes	No	0.872	Yes	Yes	-0.268	No	Yes	2.379	1.411	Yes	No	0.617	0.018
CN1CCN2c3ccccc3Cc3ccccc3C2C1	264.372	3.0839	0	2	0	120.186	-3.963	1.466	97.375	-2.433	No	Yes	No	1.533	0.134	0.773	-1.344	No	Yes	Yes	No	No	Yes	No	0.805	Yes	No	-0.2	No	Yes	2.747	0.636	Yes	Yes	1.701	1.151
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2	296.414	2.6565	1	2	0	131.834	-3.142	1.556	92.716	-2.799	Yes	No	No	1.962	0.298	0.727	-2.404	Yes	Yes	No	No	No	Yes	No	1.192	Yes	No	-0.082	No	No	2.644	0.743	Yes	No	0.441	0.591
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	386.48	4.6391	5	4	2	166.449	-4.297	0.788	92.892	-2.751	Yes	Yes	Yes	-0.02	0.025	-0.89	-1.983	No	Yes	Yes	Yes	Yes	Yes	Yes	0.123	No	No	0.335	No	Yes	2.827	1.66	Yes	No	0.329	0.913
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1	351.471	4.4315	2	4	0	152.749	-5.55	1.074	97.238	-2.331	No	Yes	No	0.552	0	0.324	-1.37	No	Yes	Yes	Yes	Yes	No	No	-0.206	No	No	0.156	No	No	2.21	1.79	Yes	No	1.466	-2.901
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C	384.516	4.4259	2	4	0	167.969	-4.732	1.269	99.939	-2.863	No	Yes	Yes	-0.007	0.017	0.28	-1.583	No	Yes	No	No	No	No	No	0.614	No	No	-0.486	No	No	1.95	1.162	No	No	0.501	0.522
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1	417.387	2.9043	3	5	2	168.707	-3.588	1.236	94.836	-2.735	Yes	No	Yes	-0.287	0.297	-0.873	-3.306	No	No	No	No	No	No	No	0.14	No	No	0.812	No	No	2.785	1.889	Yes	No	0.285	1.25
N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O	349.393	4.43818	3	4	0	156.171	-6.185	1.074	100	-2.698	Yes	Yes	Yes	0.301	0.317	0.332	-1.518	No	Yes	Yes	Yes	Yes	No	Yes	0.526	No	Yes	0.43	No	Yes	1.918	1.101	Yes	No	0.293	1.154
C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1	416.872	4.4835	4	6	2	175.951	-2.914	1.176	95.371	-2.735	Yes	Yes	Yes	-0.099	0.268	-1.338	-2.291	No	No	Yes	No	Yes	No	Yes	0.566	Yes	Yes	0.435	No	Yes	2.663	2.029	Yes	No	0.285	-0.579
