id,name,smiles,mw,logp,tpsa,hbd,hba,rotbonds,status,reason,pdbqt
CHEMBL56367,NIMESULIDE,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,308.05,2.76,98.5,1,5,5,FAIL,TPSA=98.5,
CHEMBL931,HALOTHANE,FC(F)(F)C(Cl)Br,195.89,2.51,0.0,0,0,0,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL931.pdbqt
CHEMBL932,DIPYRIDAMOLE,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,504.32,-0.02,145.4,4,12,12,FAIL,MW=504.32; TPSA=145.4; HBD=4; HBA=12; RotB=12,
CHEMBL934,METYRAPONE,CC(C)(C(=O)c1cccnc1)c1cccnc1,226.11,2.64,42.9,0,3,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL934.pdbqt
CHEMBL936,DIPHENIDOL,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,309.21,4.19,23.5,1,2,6,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL936.pdbqt
CHEMBL937,DIETHYLCARBAMAZINE CITRATE,CCN(CC)C(=O)N1CCN(C)CC1,199.17,0.7,26.8,0,2,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL937.pdbqt
CHEMBL163,RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,720.31,5.91,145.8,4,9,17,FAIL,MW=720.31; LogP=5.91; TPSA=145.8; HBD=4; HBA=9; RotB=17,
CHEMBL939,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.15,4.28,68.7,1,7,8,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL939.pdbqt
CHEMBL940,GABAPENTIN,NCC1(CC(=O)O)CCCCC1,171.13,1.37,63.3,2,2,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL940.pdbqt
CHEMBL291338,"3,3',4',5-TETRACHLOROSALICYLANILIDE",O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,348.92,5.26,49.3,2,2,2,FAIL,LogP=5.26,
CHEMBL58323,LACOSAMIDE,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,250.13,0.45,67.4,2,3,6,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL58323.pdbqt
CHEMBL941,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.26,4.59,86.3,2,7,7,FAIL,MW=493.26,
CHEMBL301265,PRAMIPEXOLE,CCCN[C@H]1CCc2nc(N)sc2C1,211.11,1.58,50.9,2,4,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL301265.pdbqt
CHEMBL942,BISACODYL,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,361.13,4.11,65.5,0,5,5,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL942.pdbqt
CHEMBL56337,EPALRESTAT,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,319.03,2.92,57.6,1,4,4,FAIL,PAINS,
CHEMBL944,CHLOROPROCAINE HYDROCHLORIDE,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,270.11,2.42,55.6,1,4,6,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL944.pdbqt
CHEMBL945,AMILORIDE,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,229.05,-1.08,156.8,5,6,1,FAIL,LogP=-1.08; TPSA=156.8; HBD=5,
CHEMBL946,AZATADINE,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,290.18,3.71,16.1,0,2,0,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL946.pdbqt
CHEMBL58510,CHLOROQUINE PHOSPHATE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,319.18,4.81,28.2,1,3,8,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL58510.pdbqt
CHEMBL951,IOPHENDYLATE,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1,416.12,6.08,26.3,0,2,11,FAIL,LogP=6.08; RotB=11,
CHEMBL294199,CAPSAICIN,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,305.2,3.79,58.6,2,3,9,FAIL,RotB=9,
CHEMBL953,ENTACAPONE,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,305.1,1.78,127.7,2,6,5,FAIL,TPSA=127.7,
CHEMBL61593,CYCLOTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,389.03,1.23,118.4,3,5,2,FAIL,TPSA=118.4,
CHEMBL956,SUPROFEN,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,260.05,3.17,54.4,1,3,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL956.pdbqt
CHEMBL957,BOSENTAN,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,551.18,4.2,145.7,2,10,10,FAIL,MW=551.18; TPSA=145.7; HBA=10; RotB=10,
CHEMBL959,RIMANTADINE,CC(N)C12CC3CC(CC(C3)C1)C2,179.17,2.55,26.0,1,1,1,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL959.pdbqt
CHEMBL960,LEFLUNOMIDE,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,270.06,3.25,55.1,1,3,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL960.pdbqt
CHEMBL62193,SULFADIMETHOXINE,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,310.07,0.88,116.4,2,7,5,FAIL,TPSA=116.4,
CHEMBL61006,PHENYLPROPANOLAMINE,CC(N)C(O)c1ccccc1,151.1,1.07,46.2,2,2,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL61006.pdbqt
CHEMBL962,EPOPROSTENOL SODIUM,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O,352.22,3.41,87.0,3,4,10,FAIL,RotB=10,
CHEMBL963,OXYMORPHONE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,301.13,0.75,70.0,2,5,0,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL963.pdbqt
CHEMBL964,DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.05,3.62,6.5,0,4,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL964.pdbqt
CHEMBL965,CARBAMOYLCHOLINE,C[N+](C)(C)CCOC(N)=O,147.11,-0.21,52.3,1,2,3,FAIL,MW=147.11,
CHEMBL967,TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.07,2.47,52.9,1,3,1,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL967.pdbqt
CHEMBL968,FLURAZEPAM,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,387.15,4.0,35.9,0,3,6,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL968.pdbqt
CHEMBL969,PRAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,324.1,3.93,32.7,0,2,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL969.pdbqt
CHEMBL970,HALAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,352.06,4.09,32.7,0,2,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL970.pdbqt
CHEMBL971,PENTOBARBITAL SODIUM,CCCC(C)C1(CC)C(=O)N=C(O)NC1=O,226.13,1.39,78.8,2,2,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL971.pdbqt
CHEMBL972,SELEGILINE,C#CCN(C)[C@H](C)Cc1ccccc1,187.14,2.18,3.2,0,1,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL972.pdbqt
CHEMBL973,TERIFLUNOMIDE,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,270.06,3.0,73.1,2,3,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL973.pdbqt
CHEMBL975,MESNA,O=S(=O)(O)CCS,141.98,-0.2,54.4,2,3,2,FAIL,MW=141.98,
CHEMBL64391,ITRACONAZOLE,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,704.24,5.58,104.7,0,9,11,FAIL,MW=704.24; LogP=5.58; TPSA=104.7; HBA=9; RotB=11,
CHEMBL64894,GENTIAN VIOLET,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,372.24,4.46,9.5,0,2,4,FAIL,PAINS,
CHEMBL976,PRAZIQUANTEL,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,312.18,2.53,40.6,0,2,1,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL976.pdbqt
CHEMBL977,HYDROCORTISONE HEMISUCCINATE ANHYDROUS,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,462.23,2.2,138.2,3,7,6,FAIL,MW=462.23; TPSA=138.2,
CHEMBL978,METHACHOLINE,CC(=O)OC(C)C[N+](C)(C)C,160.13,0.64,26.3,0,2,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL978.pdbqt
CHEMBL979,MEPROBAMATE,CCCC(C)(COC(N)=O)COC(N)=O,218.13,0.98,104.6,2,4,6,FAIL,TPSA=104.6,
CHEMBL980,GUAIFENESIN,COc1ccccc1OCC(O)CO,198.09,0.43,58.9,2,4,5,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL980.pdbqt
CHEMBL981,FENOFIBRIC ACID,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,318.07,3.81,63.6,1,3,5,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL981.pdbqt
CHEMBL982,NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.18,2.51,52.9,2,4,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL982.pdbqt
CHEMBL983,SUCCINYLCHOLINE CHLORIDE,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,290.22,0.27,52.6,0,4,9,FAIL,RotB=9,
CHEMBL984,MIVACURIUM CHLORIDE,COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,1028.56,9.03,144.9,0,14,28,FAIL,MW=1028.56; LogP=9.03; TPSA=144.9; HBA=14; RotB=28,
CHEMBL985,UREA,NC(N)=O,60.03,-0.98,69.1,2,1,0,FAIL,MW=60.03; LogP=-0.98,
CHEMBL65375,TIPIRACIL HYDROCHLORIDE,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,242.06,0.29,92.8,3,3,2,FAIL,TPSA=92.8,
CHEMBL291657,CRINECERFONT,C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)[C@@H](CC1CC1)c1ccc(C)c(F)c1,482.16,7.52,25.4,0,4,8,FAIL,MW=482.16; LogP=7.52,
CHEMBL63857,PHENOLPHTHALEIN,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.09,3.56,66.8,2,4,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL63857.pdbqt
CHEMBL986,RETINOL,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,286.23,5.51,20.2,1,1,5,FAIL,LogP=5.51,
CHEMBL989,FLUOCINOLONE ACETONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,452.2,2.37,93.1,2,6,2,FAIL,MW=452.2; TPSA=93.1,
CHEMBL990,BUTENAFINE,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,317.21,5.77,3.2,0,1,4,FAIL,LogP=5.77,
CHEMBL991,STAVUDINE,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,224.08,-0.71,84.3,2,4,2,FAIL,LogP=-0.71,
CHEMBL995,LOSARTAN POTASSIUM,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,422.16,4.27,92.5,2,5,8,FAIL,TPSA=92.5,
CHEMBL996,CEFOXITIN,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,427.05,0.1,148.3,3,8,7,FAIL,TPSA=148.3; HBA=8,
CHEMBL70046,SORIVUDINE,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,348.0,-1.49,124.8,4,6,3,FAIL,LogP=-1.49; TPSA=124.8; HBD=4,
CHEMBL997,IBANDRONIC ACID,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,319.09,0.5,138.5,5,4,9,FAIL,TPSA=138.5; HBD=5; RotB=9,
CHEMBL998,LORATADINE,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,382.14,4.89,42.4,0,3,1,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL998.pdbqt
CHEMBL305660,EBASTINE,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.3,7.22,29.5,0,3,9,FAIL,MW=469.3; LogP=7.22; RotB=9,
