pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,PAINS_detail,Brenk_alert,pass_admet
S1_site688,CHEMBL408,TROGLITAZONE,-21.62,4.25,101,0.697,2.03,2.44,441.16,4.37,84.9,2.0,6.0,31,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,5,0,-0.453,0,,1,0
S1_site688,CHEMBL1201731,NEBIVOLOL HYDROCHLORIDE,-21.45,2.62,101,0.74,3.54,4.25,405.18,2.36,71.0,3.0,5.0,29,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,6,0,-0.553,0,,0,1
S1_site688,CHEMBL1531,ETONOGESTREL,-21.39,4.57,101,0.891,3.62,4.35,324.21,4.05,37.3,1.0,2.0,24,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,1,0,0.203,0,,1,1
S1_site1813,CHEMBL1571,TESTOLACTONE,-21.38,3.28,101,0.972,4.17,5.01,300.17,3.59,43.4,0.0,3.0,22,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,0,0,0.042,0,,0,1
S1_site688,CHEMBL1289926,AXITINIB,-21.32,3.45,101,0.762,2.44,2.92,386.12,4.64,70.7,2.0,4.0,28,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,5,0,-0.202,0,,0,0
S1_site1813,CHEMBL85,RISPERIDONE,-21.2,2.23,101,0.707,3.75,4.5,410.21,3.59,64.2,0.0,5.0,30,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4,0,-0.265,0,,0,1
S1_site688,CHEMBL1200624,ETHYNODIOL DIACETATE,-21.17,3.63,101,0.756,3.3,3.96,384.23,4.43,52.6,0.0,4.0,28,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,2,0,0.034,0,,1,1
S1_site688,CHEMBL4297147,HALOPERIDOL LACTATE,-21.12,2.88,101,0.812,3.2,3.84,375.14,4.43,40.5,1.0,3.0,26,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6,0,0.213,0,,0,1
S1_site680,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-21.11,3.03,101,0.754,3.45,4.14,412.11,3.81,48.5,1.0,5.0,28,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4,0,0.0,0,,0,1
S1_site680,CHEMBL5315125,DUVELISIB MONOHYDRATE,-21.1,2.78,101,0.703,2.06,2.47,416.12,4.48,88.5,2.0,5.0,30,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,4,0,-0.49,0,,0,0
S3_site473,CHEMBL1201168,ISOCARBOXAZID,-21.06,2.76,101,1.239,4.38,5.26,231.1,1.42,67.2,2.0,4.0,17,Cc1cc(C(=O)NNCc2ccccc2)no1,4,0,-0.64,0,,1,1
S1_site680,CHEMBL85,RISPERIDONE,-21.03,3.08,101,0.701,3.75,4.5,410.21,3.59,64.2,0.0,5.0,30,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4,0,-0.265,0,,0,1
S1_site688,CHEMBL3188267,CAPMATINIB,-20.86,2.45,101,0.673,3.35,4.02,412.14,3.43,85.1,1.0,5.0,31,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,4,0,-0.599,0,,0,1
S1_site680,CHEMBL2103837,TAFAMIDIS,-20.86,3.34,101,1.043,3.2,3.83,306.98,4.5,63.3,1.0,3.0,20,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,2,0,-0.114,0,,0,1
S1_site680,CHEMBL25202,TAMIBAROTENE,-20.64,3.48,101,0.794,2.4,2.88,351.18,4.99,66.4,2.0,2.0,26,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,3,0,-0.085,0,,0,0
S1_site688,CHEMBL1678,DONEPEZIL HYDROCHLORIDE,-20.59,3.08,101,0.736,3.4,4.08,379.21,4.36,38.8,0.0,4.0,28,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,6,0,0.227,0,,0,1
S1_site680,CHEMBL12713,SERTINDOLE,-20.52,3.48,101,0.662,2.57,3.08,440.18,4.63,40.5,1.0,2.0,31,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,5,0,0.243,0,,0,0
S1_site1813,CHEMBL1405,ESTRONE,-20.52,2.47,101,1.026,3.82,4.58,270.16,3.82,37.3,1.0,2.0,20,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0,0,0.168,0,,0,1
S1_site1813,CHEMBL4594261,FLUOROESTRADIOL F-18,-20.44,3.05,101,0.973,3.7,4.44,289.17,3.56,40.5,2.0,2.0,21,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O,0,0,0.081,0,,0,1
